"ident","lat","long","new_seg","display","color","altitude","depth","temp","time","model","filename","ltime"
"pa45",-16.3732728191,-71.527139637,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3726529623,-71.5266821816,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3720196126,-71.5257718196,"False"," "," ",0," "," "," "," "," "," "
"pa45",-16.3716480769,-71.5254193156,"False"," "," ",0," "," "," "," "," "," "
"pa49"," "," "," "," "," "," "," "," "," "," "," "," "
"pa49",-16.3688274399,-71.5252092246,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3681828817,-71.5247571781,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3682775567,-71.5245548109,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3679724524,-71.5239326165,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3684666966,-71.5236633576,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.367674664,-71.5222883014,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3670898165,-71.5226728139,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3660469118,-71.523949352,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3657955201,-71.5243647293,"False"," "," ",0," "," "," "," "," "," "
"pa49",-16.3682618675,-71.5260799025,"False"," "," ",0," "," "," "," "," "," "
"pa52"," "," "," "," "," "," "," "," "," "," "," "," "
"pa52",-16.3721420315,-71.5281888102,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3725233598,-71.5284146753,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3722438348,-71.5289367436,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3710170054,-71.5280936263,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3703539529,-71.5290650278,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3699941157,-71.5296875733,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3709192008,-71.5298505306,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3712433172,-71.5295643795,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.371354855,-71.5291323467,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3714061997,-71.5290533673,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3715297034,-71.5290413762,"False"," "," ",0," "," "," "," "," "," "
"pa52",-16.3717181739,-71.5294140086,"False"," "," ",0," "," "," "," "," "," "
