"block_id","user_std","date_clean","lat","long","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.5.4-11","VP04",2024-12-14 08:57:14.81685,"-16.4710921","-71.472193799999999","C",NA,0,0,0
"1.12.1-9","VP01",2024-12-14 08:57:22.912217,"-16.506320899999999","-71.496284200000005","D",NA,0,0,0
"1.5.4-11","VP04",2024-12-14 08:57:25.433189,"-16.4710933","-71.472181199999994","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 08:57:47.173478,"-16.490646399999999","-71.492799599999998","D",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 08:57:57.057526,"-16.490645499999999","-71.4928405","D",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 08:58:41.652987,"-16.471047500000001","-71.472504700000002","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 08:58:45.487708,"-16.471048499999998","-71.472497099999998","C",NA,0,0,0
"1.5.4-12","VP04",2024-12-14 08:58:49.986979,"-16.471047899999999","-71.472490300000004","P","si",1,0,1
"1.12.5-69","VP07",2024-12-14 08:59:35.558935,"-16.4907021","-71.493076599999995","D",NA,0,0,0
"1.5.5-7","VP06",2024-12-14 08:59:57.953163,"-16.4717518","-71.484657799999994","C",NA,0,0,0
"1.16.11-2","VP03",2024-12-14 09:00:46.370889,"-16.531331000000002","-71.481737600000002","P","si",1,1,0
"1.12.5-69","VP07",2024-12-14 09:01:06.932442,"-16.4906495","-71.493301599999995","D",NA,0,0,0
"1.12.5-60","VP08",2024-12-14 09:01:37.645269,"-16.489312200000001","-71.491109399999999","LV",NA,0,0,0
"1.12.5-60","VP08",2024-12-14 09:01:42.799526,"-16.4893088","-71.491152799999995","LV",NA,0,0,0
"1.12.5-60","VP08",2024-12-14 09:01:47.155166,"-16.489335000000001","-71.491149800000002","D",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:01:49.226016,"-16.490179399999999","-71.493337100000005","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:01:58.326705,"-16.4901886","-71.493366800000004","D",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 09:02:19.50766,"-16.471424500000001","-71.484371600000003","C",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:02:29.296542,"-16.527338199999999","-71.482479600000005","LV",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:02:36.964086,"-16.527338400000001","-71.482479699999999","D",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 09:02:38.851,"-16.471262200000002","-71.484378399999997","C",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:02:49.979858,"-16.527321100000002","-71.482488599999996","LV",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:03:00.846421,"-16.527313500000002","-71.482495999999998","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:03:05.36387,"-16.527312999999999","-71.482496400000002","D",NA,0,0,0
"1.16.4-87","VP02",2024-12-14 09:03:09.213921,"-16.5273082","-71.482501400000004","D",NA,0,0,0
"1.12.5-64","VP08",2024-12-14 09:03:15.236334,"-16.4894058","-71.491090400000004","P","si",2,2,0
"1.12.5-69","VP07",2024-12-14 09:03:54.660135,"-16.490108299999999","-71.493196100000006","P","si",3,3,0
"1.16.14-13","VP03",2024-12-14 09:04:21.093326,"-16.531392799999999","-71.481684999999999","P","si",3,1,1
"1.16.11-3","VP03",2024-12-14 09:04:52.367912,"-16.531355000000001","-71.481685799999994","P","si",1,1,1
"1.12.5-69","VP07",2024-12-14 09:05:10.015345,"-16.490081100000001","-71.493227300000001","D",NA,0,0,0
"1.12.5-71","VP07",2024-12-14 09:05:24.598655,"-16.489813900000001","-71.493295000000003","C",NA,0,0,0
"1.12.5-71","VP07",2024-12-14 09:05:59.299776,"-16.489590499999998","-71.493293699999995","C",NA,0,0,0
"1.12.1-9","VP01",2024-12-14 09:07:28.240705,"-16.506310899999999","-71.496286699999999","P","si",6,4,4
"1.12.5-69","VP07",2024-12-14 09:07:30.404459,"-16.4894733","-71.493000100000003","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:07:35.421211,"-16.489473199999999","-71.492999299999994","C",NA,0,0,0
"1.16.14-6","VP03",2024-12-14 09:07:56.733712,"-16.531466399999999","-71.481766199999996","P","si",1,1,1
"1.12.5-68","VP07",2024-12-14 09:08:06.253742,"-16.489451599999999","-71.493006199999996","C",NA,0,0,0
"1.12.5-69","VP07",2024-12-14 09:08:22.271257,"-16.489449499999999","-71.493002200000006","C",NA,0,0,0
"1.16.4-92","VP02",2024-12-14 09:08:31.124254,"-16.527444299999999","-71.482451499999996","P","si",2,0,2
