"block_id","user_app","date","lat","long","type_house","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep","head_or_observe_dogs_inside_house","multifamily","cluster"
"1.29.32-4","VP06","2024-12-01T08:38:44.683167","-16.303789299999998","-71.6170525","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:38:52.879854","-16.303801100000001","-71.617044899999996","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:39:33.919015","-16.313656399999999","-71.602495300000001","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.28-1","VP09","2024-12-01T08:39:43.094250","-16.299561300000001","-71.623062599999997","P","si",1,"0",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:40:06.036996","-16.309236299999998","-71.616717600000001","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.71-6","VP10","2024-12-01T08:40:01.761308","-16.299616499999999","-71.625114699999997","P","si",3,"3",2,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:40:03.752426","-16.313574200000001","-71.602490200000005","P","si",2,"2",0,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:40:48.386101","-16.3136163","-71.602498100000005","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:40:56.334581","-16.3136264","-71.602495599999997","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.28-1","VP09","2024-12-01T08:41:27.879338","-16.299451300000001","-71.623056000000005","P","si",2,"0",2,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:41:29.002349","-16.313647199999998","-71.602519299999997","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:41:58.469422","-16.313675400000001","-71.602503200000001","P","si",1,"1",0,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:42:30.834053","-16.314056699999998","-71.608958299999998","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.37-22","VP02","2024-12-01T08:42:41.369230","-16.3137027","-71.6025408","P","si",2,"2",0,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:42:51.681857","-16.314206899999999","-71.608822799999999","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:43:04.392562","-16.3142718","-71.608700499999998","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:43:11.578211","-16.314309300000001","-71.608653099999998","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:43:14.624685","-16.3037393","-71.6174003","P","si",1,"0",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:43:51.923935","-16.3138431","-71.602729600000004","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:44:37.275636","-16.298584900000002","-71.622466200000005","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:44:37.558944","-16.309309500000001","-71.616625499999998","P","si",3,"3",3,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:44:56.255558","-16.3135832","-71.603001399999997","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:45:01.822484","-16.313588500000002","-71.602992900000004","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.71-34","VP10","2024-12-01T08:45:33.600566","-16.299246799999999","-71.625595200000006","P","si",2,"2",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:46:39.316405","-16.3135315","-71.603280499999997","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.28-2","VP09","2024-12-01T08:46:54.910130","-16.2985407","-71.622470199999995","P","si",1,"1",0,NA,"no","cluster19"
"1.29.37-28","VP01","2024-12-01T08:46:57.474915","-16.315161799999998","-71.603087000000002","P","si",1,"0",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:47:06.725981","-16.313481400000001","-71.603366199999996","P","si",1,"1",0,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:48:01.868695","-16.3093243","-71.616624000000002","D",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:48:08.884484","-16.304717199999999","-71.616392099999999","P","si",2,"0",2,NA,"no","cluster19"
