"block_id";"user_app";"date";"lat";"long";"type_house";"raise_dog_house";"number_dog_house";"number_dog_vaccinated_2024";"number_dog_vaccinated_sweep";"head_or_observe_dogs_inside_house";"multifamily";"cluster"
"1.8.6-12";"VP33";"2025-06-29T10:10:00.292702";"-16.4463629";"-71.514082000000002";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.11-15";"VP44";"2025-06-29T10:10:12.244486";"-16.44285";"-71.5209835";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.70-5";"VP32";"2025-06-29T10:10:43.219061";"-16.4315055";"-71.543321800000001";"R";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:12:42.945892";"-16.444518899999998";"-71.507091399999993";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.11-10";"VP44";"2025-06-29T10:11:29.248692";"-16.4426883";"-71.520832499999997";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:13:48.948349";"-16.446365700000001";"-71.513882699999996";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:14:03.632273";"-16.446368499999998";"-71.513886299999996";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:12:55.754400";"-16.439014199999999";"-71.520745099999999";"P";"si";4;"0";4;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:14:13.705997";"-16.4463683";"-71.513888300000005";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:14:44.922164";"-16.4463683";"-71.513888300000005";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.5-31";"VP41";"2025-06-29T10:14:39.255412";"-16.451238";"-71.513453600000005";"P";"si";4;"2";2;NA;"no";"cluster3"
"1.8.30-9";"VP31";"2025-06-29T10:15:50.982773";"-16.439000700000001";"-71.506456900000003";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:15:59.991614";"-16.4390331";"-71.520606799999996";"P";"si";2;"2";0;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:16:10.978847";"-16.444674500000001";"-71.507102599999996";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:16:32.899412";"-16.446378800000002";"-71.513877399999998";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:16:46.577668";"-16.438761400000001";"-71.520624999999995";"P";"no";NA;NA;NA;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:16:56.478895";"-16.446366900000001";"-71.513838800000002";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.30-9";"VP31";"2025-06-29T10:16:18.423083";"-16.438991699999999";"-71.506445299999996";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:17:05.250829";"-16.446366600000001";"-71.513836699999999";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:17:07.395298";"-16.444514999999999";"-71.507105499999994";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.11-10";"VP44";"2025-06-29T10:16:34.362232";"-16.442495600000001";"-71.520742299999995";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T10:09:01.100613";"-16.455020000000001";"-71.513883300000003";"P";"si";3;"0";3;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T10:15:54.008070";"-16.454578699999999";"-71.513248599999997";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:18:16.887204";"-16.4445297";"-71.507114000000001";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:18:36.547555";"-16.431535";"-71.511646900000002";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:20:06.477682";"-16.444541999999998";"-71.507101199999994";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:21:36.735839";"-16.444537499999999";"-71.507157699999993";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.56-7";"VP44";"2025-06-29T10:21:09.926289";"-16.442668600000001";"-71.520893200000003";"C";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.7-5";"VP33";"2025-06-29T10:22:18.341924";"-16.446035899999998";"-71.514560799999998";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.30-9";"VP31";"2025-06-29T10:22:16.119373";"-16.4389653";"-71.506519100000006";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:22:43.614368";"-16.431610800000001";"-71.511640200000002";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:24:35.189652";"-16.444520499999999";"-71.507199999999997";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.7-5";"VP33";"2025-06-29T10:25:11.073545";"-16.4461215";"-71.514527200000003";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.11-14";"VP44";"2025-06-29T10:25:30.277714";"-16.442662800000001";"-71.520872100000005";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:25:36.369591";"-16.438676999999998";"-71.520480599999999";"P";"si";7;"0";7;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:27:29.785499";"-16.431590100000001";"-71.511602199999999";"DOG_ANOTHER_AREA";NA;1;"0";1;NA;"no";"cluster3"
"1.8.5-9";"VP41";"2025-06-29T10:27:57.103919";"-16.451548899999999";"-71.513315899999995";"P";"si";2;"1";1;NA;"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:29:50.375069";"-16.438625300000002";"-71.520517499999997";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:31:26.290939";"-16.444557499999998";"-71.507208399999996";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:31:14.991175";"-16.431595900000001";"-71.511592899999997";"DOG_ANOTHER_AREA";NA;3;"0";1;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:33:07.276660";"-16.4384607";"-71.520655199999993";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:33:52.726633";"-16.4386549";"-71.520611099999996";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:34:35.805876";"-16.438599199999999";"-71.520543200000006";"C";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:34:25.201320";"-16.444503300000001";"-71.507383000000004";"P";"si";2;"2";0;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:35:20.723673";"-16.438561100000001";"-71.520548899999994";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:36:05.535142";"-16.438465099999998";"-71.520552899999998";"C";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.28-5";"VP40";"2025-06-29T10:35:58.304748";"-16.4352947";"-71.516180399999996";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster3"
"1.8.7-8";"VP33";"2025-06-29T10:36:47.022320";"-16.446258700000001";"-71.515113200000002";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:37:11.601792";"-16.444458300000001";"-71.507692000000006";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.5-9";"VP41";"2025-06-29T10:37:44.114011";"-16.4515235";"-71.513358400000001";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T10:35:19.396779";"-16.454553300000001";"-71.513238299999998";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T10:25:52.917312";"-16.454533300000001";"-71.513231700000006";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.28-4";"VP40";"2025-06-29T10:38:15.140151";"-16.4362122";"-71.516423900000007";"P";"si";3;"NS";3;NA;"no";"cluster3"
"1.8.5-7";"VP41";"2025-06-29T10:39:54.591141";"-16.451577499999999";"-71.513371399999997";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.31-3";"VP44";"2025-06-29T10:39:17.027875";"-16.442374900000001";"-71.520886200000007";"P";"si";3;"0";3;NA;"no";"cluster3"
"1.8.28-8";"VP40";"2025-06-29T10:41:26.253985";"-16.436493299999999";"-71.516061899999997";"LV";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:41:39.683750";"-16.444425599999999";"-71.508024199999994";"P";"si";2;"1";1;NA;"no";"cluster3"
"1.8.5-8";"VP41";"2025-06-29T10:42:42.227721";"-16.451591199999999";"-71.513401500000001";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.7-8";"VP33";"2025-06-29T10:43:19.406240";"-16.446242900000001";"-71.515260999999995";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.7-8";"VP33";"2025-06-29T10:43:54.229377";"-16.446264899999999";"-71.515363300000004";"P";"si";1;"1";1;NA;"no";"cluster3"
"1.8.7-8";"VP33";"2025-06-29T10:44:29.111718";"-16.446265";"-71.515363300000004";"P";"si";1;"0";0;NA;"no";"cluster3"
"1.8.30-38";"VP38";"2025-06-29T10:44:35.828840";"-16.43235";"-71.511075899999994";"DOG_ANOTHER_AREA";NA;2;"0";1;NA;"no";"cluster3"
"1.8.7-4";"VP33";"2025-06-29T10:45:25.427590";"-16.446260599999999";"-71.515340199999997";"C";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:45:13.005808";"-16.444415100000001";"-71.5080229";"P";"si";1;"0";0;NA;"no";"cluster3"
"1.8.30-31";"VP31";"2025-06-29T10:45:06.295569";"-16.436709499999999";"-71.507449699999995";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.28-5";"VP40";"2025-06-29T10:45:51.811249";"-16.4364636";"-71.5160798";"DOG_ANOTHER_AREA";NA;2;"NS";2;NA;"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:39:48.330274";"-16.438447700000001";"-71.520482299999998";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:46:36.059308";"-16.444414900000002";"-71.507999699999999";"P";"si";1;"0";0;NA;"no";"cluster3"
"1.8.2-5";"VP35";"2025-06-29T10:46:45.858611";"-16.454294999999998";"-71.512668300000001";"P";"si";3;"0";3;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:47:15.576900";"-16.444420000000001";"-71.507998700000002";"P";"si";1;"0";0;NA;"no";"cluster3"
"1.8.2-4";"VP35";"2025-06-29T10:47:33.963540";"-16.454186700000001";"-71.512736700000005";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.25-2";"VP30";"2025-06-29T10:47:43.285358";"-16.438125899999999";"-71.519826899999998";"P";"si";2;"2";0;NA;"no";"cluster3"
"1.8.28-8";"VP40";"2025-06-29T10:47:41.383064";"-16.436630000000001";"-71.5157217";"P";"no";NA;NA;NA;NA;"no";"cluster3"
"1.8.7-4";"VP33";"2025-06-29T10:48:02.583060";"-16.4463148";"-71.515545000000003";"P";"si";2;"0";1;NA;"no";"cluster3"
"1.8.25-2";"VP30";"2025-06-29T10:48:21.950340";"-16.4381819";"-71.519823299999999";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.30-35";"VP31";"2025-06-29T10:48:33.590459";"-16.436533799999999";"-71.5075346";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.11-10";"VP44";"2025-06-29T10:49:30.017506";"-16.4422633";"-71.520843299999996";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.12-52";"VP42";"2025-06-29T10:51:25.084233";"-16.4443214";"-71.508449799999994";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.7-4";"VP33";"2025-06-29T10:51:43.606570";"-16.446254700000001";"-71.515526800000004";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.7-4";"VP33";"2025-06-29T10:52:09.524208";"-16.446245099999999";"-71.515543399999999";"P";"si";2;"0";1;NA;"no";"cluster3"
"1.8.12-52";"VP42";"2025-06-29T10:51:49.065156";"-16.444291400000001";"-71.508508399999997";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.30-38";"VP38";"2025-06-29T10:52:15.500360";"-16.432504300000002";"-71.510947000000002";"P";"si";3;"0";2;NA;"no";"cluster3"
"1.8.28-8";"VP40";"2025-06-29T10:53:07.139166";"-16.436512799999999";"-71.516039500000005";"LV";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.28-8";"VP40";"2025-06-29T10:54:12.825395";"-16.436633499999999";"-71.516452400000006";"R";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.28-7";"VP40";"2025-06-29T10:54:42.853990";"-16.436661600000001";"-71.516685499999994";"R";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.25-2";"VP30";"2025-06-29T10:54:44.066815";"-16.438165900000001";"-71.519597300000001";"P";"si";2;"0";2;NA;"no";"cluster3"
"1.8.5-32";"VP41";"2025-06-29T10:54:31.506652";"-16.452484599999998";"-71.513568800000002";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.28-26";"VP40";"2025-06-29T10:55:14.614097";"-16.436647199999999";"-71.5169073";"P";"no";NA;NA;NA;NA;"no";"cluster3"
"1.8.7-4";"VP33";"2025-06-29T10:55:15.211919";"-16.446237100000001";"-71.515529599999994";"P";"si";1;"0";0;NA;"no";"cluster3"
"1.8.28-7";"VP40";"2025-06-29T10:55:39.147394";"-16.436645599999999";"-71.517101600000004";"R";NA;NA;NA;NA;"no-sabe";"no";"cluster3"
"1.8.2-4";"VP35";"2025-06-29T10:56:08.845525";"-16.453765000000001";"-71.512591700000002";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.25-2";"VP30";"2025-06-29T10:56:22.837018";"-16.438219700000001";"-71.519727000000003";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.25-2";"VP30";"2025-06-29T10:56:39.870185";"-16.438176299999999";"-71.519775999999993";"C";NA;NA;NA;NA;"si";"no";"cluster3"
