"DATE";"CLUSTER"
"2024-12-01T09:33:02.260927";"cluster19"
"2024-12-01T09:33:08.906976";"cluster19"
"2024-12-01T09:33:32.741965";"cluster19"
"2024-12-01T09:33:29.553553";"cluster19"
"2024-12-01T09:33:38.988815";"cluster19"
"2024-12-01T09:33:56.383654";"cluster19"
"2024-12-01T09:33:50.351664";"cluster19"
"2024-12-01T09:34:03.324776";"cluster19"
"2024-12-01T09:33:59.549504";"cluster19"
"2024-12-01T09:34:23.713374";"cluster19"
"2024-12-01T09:34:20.153400";"cluster19"
"2024-12-01T09:34:28.880359";"cluster19"
"2024-12-01T09:34:42.704965";"cluster19"
"2024-12-01T09:35:31.020306";"cluster19"
"2024-12-01T09:35:50.393808";"cluster19"
"2024-12-01T09:35:56.191145";"cluster19"
"2024-12-01T09:35:57.384852";"cluster19"
"2024-12-01T09:36:07.902912";"cluster19"
"2024-12-01T09:36:02.818072";"cluster19"
"2024-12-01T09:36:32.768364";"cluster19"
"2024-12-01T09:36:40.301363";"cluster19"
"2024-12-01T09:36:48.636254";"cluster19"
"2024-12-01T09:37:04.005147";"cluster19"
"2024-12-01T09:37:01.838935";"cluster19"
"2024-12-01T09:37:45.606509";"cluster19"
"2024-12-01T09:38:19.072079";"cluster19"
"2024-12-01T09:38:19.179237";"cluster19"
"2024-12-01T09:38:14.271980";"cluster19"
"2024-12-01T09:38:43.030041";"cluster19"
"2024-12-01T09:38:56.291389";"cluster19"
"2024-12-01T09:39:00.565387";"cluster19"
"2024-12-01T09:39:07.014963";"cluster19"
"2024-12-01T09:39:11.216601";"cluster19"
"2024-12-01T09:39:24.180770";"cluster19"
"2024-12-01T09:39:24.629440";"cluster19"
"2024-12-01T09:40:43.138971";"cluster19"
"2024-12-01T09:41:24.322624";"cluster19"
"2024-12-01T09:42:10.307216";"cluster19"
"2024-12-01T09:42:18.428713";"cluster19"
"2024-12-01T09:42:23.909966";"cluster19"
"2024-12-01T09:42:21.670519";"cluster19"
"2024-12-01T09:42:28.642965";"cluster19"
"2024-12-01T09:42:33.384630";"cluster19"
"2024-12-01T09:42:35.361271";"cluster19"
"2024-12-01T09:42:42.786570";"cluster19"
"2024-12-01T09:42:39.084377";"cluster19"
"2024-12-01T09:42:51.156695";"cluster19"
"2024-12-01T09:42:55.780232";"cluster19"
"2024-12-01T09:43:00.757427";"cluster19"
"2024-12-01T09:42:54.383090";"cluster19"
"2024-12-01T09:43:11.379829";"cluster19"
"2024-12-01T09:43:19.585760";"cluster19"
"2024-12-01T09:43:22.693121";"cluster19"
"2024-12-01T09:43:41.068842";"cluster19"
"2024-12-01T09:43:48.627293";"cluster19"
"2024-12-01T09:43:46.342207";"cluster19"
"2024-12-01T09:43:57.250154";"cluster19"
"2024-12-01T09:44:06.836316";"cluster19"
"2024-12-01T09:44:16.869914";"cluster19"
"2024-12-01T09:44:04.436680";"cluster19"
"2024-12-01T09:44:29.134587";"cluster19"
"2024-12-01T09:44:11.720556";"cluster19"
"2024-12-01T09:44:45.489948";"cluster19"
"2024-12-01T09:44:50.208872";"cluster19"
"2024-12-01T09:45:03.223451";"cluster19"
"2024-12-01T09:45:11.707090";"cluster19"
"2024-12-01T09:45:25.479395";"cluster19"
"2024-12-01T09:45:34.085649";"cluster19"
"2024-12-01T09:46:18.151854";"cluster19"
"2024-12-01T09:46:12.908901";"cluster19"
"2024-12-01T09:46:24.044967";"cluster19"
"2024-12-01T09:46:26.912151";"cluster19"
"2024-12-01T09:46:30.038986";"cluster19"
"2024-12-01T09:46:25.605727";"cluster19"
"2024-12-01T09:46:36.565845";"cluster19"
"2024-12-01T09:46:38.328322";"cluster19"
"2024-12-01T09:46:43.859367";"cluster19"
"2024-12-01T09:46:49.316187";"cluster19"
"2024-12-01T09:46:54.057462";"cluster19"
"2024-12-01T09:46:59.679631";"cluster19"
"2024-12-01T09:47:27.066216";"cluster19"
"2024-12-01T09:47:37.499314";"cluster19"
"2024-12-01T09:47:42.815705";"cluster19"
"2024-12-01T09:47:48.432466";"cluster19"
"2024-12-01T09:47:55.149760";"cluster19"
"2024-12-01T09:47:30.231619";"cluster19"
"2024-12-01T09:47:53.009711";"cluster19"
"2024-12-01T09:48:00.432280";"cluster19"
"2024-12-01T09:48:07.482295";"cluster19"
"2024-12-01T09:48:04.542182";"cluster19"
"2024-12-01T09:48:15.159034";"cluster19"
"2024-12-01T09:49:00.032464";"cluster19"
"2024-12-01T09:49:16.848475";"cluster19"
"2024-12-01T09:49:18.484601";"cluster19"
"2024-12-01T09:49:22.265998";"cluster19"
"2024-12-01T09:49:21.876934";"cluster19"
"2024-12-01T09:49:26.815082";"cluster19"
"2024-12-01T09:49:34.587979";"cluster19"
"2024-12-01T09:49:54.739378";"cluster19"
"2024-12-01T09:49:57.073634";"cluster19"
"2024-12-01T09:50:03.641699";"cluster19"
"2024-12-01T09:49:25.707877";"cluster19"
"2024-12-01T09:50:08.442009";"cluster19"
"2024-12-01T09:50:15.297918";"cluster19"
"2024-12-01T09:50:23.847364";"cluster19"
"2024-12-01T09:50:58.859554";"cluster19"
"2024-12-01T09:51:06.604172";"cluster19"
"2024-12-01T09:52:04.992069";"cluster19"
"2024-12-01T09:52:12.297694";"cluster19"
"2024-12-01T09:52:33.282935";"cluster19"
"2024-12-01T09:52:41.165626";"cluster19"
"2024-12-01T09:52:51.433517";"cluster19"
"2024-12-01T09:52:57.657350";"cluster19"
"2024-12-01T09:53:01.310526";"cluster19"
"2024-12-01T09:53:05.110820";"cluster19"
"2024-12-01T09:53:55.821166";"cluster19"
"2024-12-01T09:54:08.027232";"cluster19"
"2024-12-01T09:54:13.810205";"cluster19"
"2024-12-01T09:54:17.131961";"cluster19"
"2024-12-01T09:54:30.965179";"cluster19"
"2024-12-01T09:54:50.418182";"cluster19"
"2024-12-01T09:55:55.368580";"cluster19"
"2024-12-01T09:56:04.049054";"cluster19"
"2024-12-01T09:56:19.051590";"cluster19"
"2024-12-01T09:57:16.646235";"cluster19"
"2024-12-01T09:58:06.804389";"cluster19"
"2024-12-01T09:58:30.277128";"cluster19"
"2024-12-01T09:58:38.909138";"cluster19"
"2024-12-01T09:58:46.261209";"cluster19"
"2024-12-01T09:58:58.594066";"cluster19"
"2024-12-01T09:58:30.583861";"cluster19"
"2024-12-01T09:59:09.170302";"cluster19"
"2024-12-01T10:00:09.841629";"cluster19"
"2024-12-01T10:00:14.185273";"cluster19"
"2024-12-01T10:00:27.705059";"cluster19"
"2024-12-01T10:00:46.524322";"cluster19"
"2024-12-01T10:00:50.912984";"cluster19"
"2024-12-01T10:00:58.266301";"cluster19"
"2024-12-01T10:01:02.910260";"cluster19"
"2024-12-01T10:01:12.211069";"cluster19"
"2024-12-01T10:01:20.533081";"cluster19"
"2024-12-01T10:01:20.246775";"cluster19"
"2024-12-01T10:01:25.113316";"cluster19"
"2024-12-01T10:02:58.316548";"cluster19"
"2024-12-01T10:03:04.007956";"cluster19"
"2024-12-01T10:03:08.564127";"cluster19"
"2024-12-01T10:03:18.417853";"cluster19"
"2024-12-01T10:03:33.923006";"cluster19"
"2024-12-01T10:03:44.607969";"cluster19"
"2024-12-01T10:03:48.399390";"cluster19"
"2024-12-01T10:03:56.285344";"cluster19"
"2024-12-01T10:05:06.464265";"cluster19"
"2024-12-01T10:05:10.516550";"cluster19"
"2024-12-01T10:05:39.278400";"cluster19"
"2024-12-01T10:05:44.793041";"cluster19"
"2024-12-01T10:07:44.085031";"cluster19"
"2024-12-01T10:07:49.005256";"cluster19"
"2024-12-01T10:07:57.513129";"cluster19"
"2024-12-01T10:08:01.877709";"cluster19"
"2024-12-01T10:08:02.298179";"cluster19"
"2024-12-01T10:08:07.268646";"cluster19"
"2024-12-01T10:08:10.849119";"cluster19"
"2024-12-01T10:08:11.236481";"cluster19"
"2024-12-01T10:08:19.303450";"cluster19"
"2024-12-01T10:08:24.749118";"cluster19"
"2024-12-01T10:08:21.694474";"cluster19"
"2024-12-01T10:08:20.722863";"cluster19"
"2024-12-01T10:08:33.360570";"cluster19"
"2024-12-01T10:08:22.635023";"cluster19"
"2024-12-01T10:08:53.827131";"cluster19"
"2024-12-01T10:09:27.075822";"cluster19"
"2024-12-01T10:09:30.934869";"cluster19"
"2024-12-01T10:09:54.072961";"cluster19"
"2024-12-01T10:10:07.278372";"cluster19"
"2024-12-01T10:10:27.252203";"cluster19"
